GEO_ID,NAME,P1_001N,P1_002N,P1_003N,P1_004N,P1_005N,P1_006N,P1_007N,P1_008N,P1_009N,P1_010N,P1_011N,P1_012N,P1_013N,P1_014N,P1_015N,P1_016N,P1_017N,P1_018N,P1_019N,P1_020N,P1_021N,P1_022N,P1_023N,P1_024N,P1_025N,P1_026N,P1_027N,P1_028N,P1_029N,P1_030N,P1_031N,P1_032N,P1_033N,P1_034N,P1_035N,P1_036N,P1_037N,P1_038N,P1_039N,P1_040N,P1_041N,P1_042N,P1_043N,P1_044N,P1_045N,P1_046N,P1_047N,P1_048N,P1_049N,P1_050N,P1_051N,P1_052N,P1_053N,P1_054N,P1_055N,P1_056N,P1_057N,P1_058N,P1_059N,P1_060N,P1_061N,P1_062N,P1_063N,P1_064N,P1_065N,P1_066N,P1_067N,P1_068N,P1_069N,P1_070N,P1_071N
1500000US421010001025,"Block Group 5, Census Tract 1.02, Philadelphia County, Pennsylvania",655,604,508,21,1,52,0,22,51,45,4,0,10,0,25,0,5,0,0,0,0,1,0,0,0,3,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0
1500000US421010002001,"Block Group 1, Census Tract 2, Philadelphia County, Pennsylvania",2213,2124,412,74,3,1615,0,20,89,81,9,3,35,0,21,0,2,0,0,0,0,1,4,6,0,7,0,0,0,2,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1500000US421010002002,"Block Group 2, Census Tract 2, Philadelphia County, Pennsylvania",586,554,283,37,1,223,0,10,32,31,10,0,6,0,10,0,4,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1500000US421010002003,"Block Group 3, Census Tract 2, Philadelphia County, Pennsylvania",534,503,121,140,2,234,0,6,31,27,4,4,3,0,10,0,2,0,2,0,0,0,2,0,0,4,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1500000US421010002004,"Block Group 4, Census Tract 2, Philadelphia County, Pennsylvania",34,33,22,8,1,0,0,2,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1500000US421010003001,"Block Group 1, Census Tract 3, Philadelphia County, Pennsylvania",1344,1263,1051,71,0,123,1,17,81,69,11,4,17,0,32,0,1,0,0,0,0,0,1,3,0,12,3,0,0,7,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1500000US421010003002,"Block Group 2, Census Tract 3, Philadelphia County, Pennsylvania",222,205,148,11,0,43,0,3,17,16,5,0,0,0,10,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1500000US421010003003,"Block Group 3, Census Tract 3, Philadelphia County, Pennsylvania",1096,1028,789,59,0,159,1,20,68,67,10,4,12,0,35,0,3,0,2,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1500000US421010003004,"Block Group 4, Census Tract 3, Philadelphia County, Pennsylvania",751,677,475,64,0,108,0,30,74,61,12,11,17,0,8,3,3,0,2,0,0,0,0,5,0,9,5,0,0,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1500000US421010003005,"Block Group 5, Census Tract 3, Philadelphia County, Pennsylvania",1088,1046,713,113,0,214,1,5,42,40,1,2,12,0,24,0,1,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1500000US421010004011,"Block Group 1, Census Tract 4.01, Philadelphia County, Pennsylvania",1314,1220,903,90,3,201,0,23,94,88,8,4,22,2,52,0,0,0,0,0,0,0,0,0,0,6,1,1,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1500000US421010004012,"Block Group 2, Census Tract 4.01, Philadelphia County, Pennsylvania",760,710,430,93,0,163,0,24,50,48,7,0,10,0,25,1,1,2,1,1,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1500000US421010004013,"Block Group 3, Census Tract 4.01, Philadelphia County, Pennsylvania",1049,963,448,74,3,432,0,6,86,79,7,7,30,0,31,3,0,0,0,0,0,0,0,0,1,7,2,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1500000US421010004031,"Block Group 1, Census Tract 4.03, Philadelphia County, Pennsylvania",20,13,11,1,1,0,0,0,7,7,1,2,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1500000US421010004032,"Block Group 2, Census Tract 4.03, Philadelphia County, Pennsylvania",1119,1050,796,77,2,169,0,6,69,65,6,2,13,0,41,3,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1500000US421010004041,"Block Group 1, Census Tract 4.04, Philadelphia County, Pennsylvania",1062,1011,857,26,4,109,0,15,51,46,1,4,17,0,23,0,0,0,0,0,0,0,0,1,0,4,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1500000US421010004042,"Block Group 2, Census Tract 4.04, Philadelphia County, Pennsylvania",2036,1947,1656,70,0,213,0,8,89,88,20,5,14,0,43,0,0,0,5,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1500000US421010004043,"Block Group 3, Census Tract 4.04, Philadelphia County, Pennsylvania",724,678,526,23,0,111,0,18,46,45,5,1,12,0,27,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1500000US421010005001,"Block Group 1, Census Tract 5, Philadelphia County, Pennsylvania",808,776,445,185,1,126,0,19,32,31,3,1,11,2,10,0,1,0,2,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1500000US421010005002,"Block Group 2, Census Tract 5, Philadelphia County, Pennsylvania",33,33,12,20,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1500000US421010005003,"Block Group 3, Census Tract 5, Philadelphia County, Pennsylvania",1066,997,660,61,3,253,0,20,69,66,14,1,17,0,25,0,0,0,3,3,0,0,0,3,0,3,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1500000US421010005004,"Block Group 4, Census Tract 5, Philadelphia County, Pennsylvania",1707,1670,736,609,3,314,0,8,37,36,3,1,0,0,18,2,1,0,3,0,0,0,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1500000US421010006001,"Block Group 1, Census Tract 6, Philadelphia County, Pennsylvania",1161,1079,799,59,4,183,0,34,82,74,5,15,23,0,30,0,0,0,1,0,0,0,0,0,0,7,1,1,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1500000US421010006002,"Block Group 2, Census Tract 6, Philadelphia County, Pennsylvania",1156,1031,804,55,1,149,0,22,125,121,25,12,25,0,55,1,1,0,1,0,0,1,0,0,0,3,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1500000US421010007011,"Block Group 1, Census Tract 7.01, Philadelphia County, Pennsylvania",679,634,512,37,2,79,1,3,45,44,4,2,14,0,24,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1500000US421010007012,"Block Group 2, Census Tract 7.01, Philadelphia County, Pennsylvania",849,809,656,75,0,69,0,9,40,38,5,1,0,0,29,0,0,0,0,0,0,3,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1500000US421010007013,"Block Group 3, Census Tract 7.01, Philadelphia County, Pennsylvania",1194,1118,792,53,5,251,0,17,76,73,16,0,16,0,32,3,1,0,4,0,0,0,0,0,1,3,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1500000US421010007021,"Block Group 1, Census Tract 7.02, Philadelphia County, Pennsylvania",699,670,558,31,0,68,0,13,29,27,6,3,8,2,7,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1500000US421010007022,"Block Group 2, Census Tract 7.02, Philadelphia County, Pennsylvania",1313,1208,781,60,1,335,1,30,105,102,14,1,25,0,56,0,0,0,2,0,0,2,1,1,0,3,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1500000US421010008011,"Block Group 1, Census Tract 8.01, Philadelphia County, Pennsylvania",515,461,383,15,0,49,0,14,54,54,9,5,9,0,30,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1500000US421010008012,"Block Group 2, Census Tract 8.01, Philadelphia County, Pennsylvania",1233,1176,1022,43,6,98,0,7,57,50,5,5,10,0,27,0,1,0,1,0,0,0,1,0,0,5,1,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1500000US421010008031,"Block Group 1, Census Tract 8.03, Philadelphia County, Pennsylvania",868,799,665,27,3,86,1,17,69,65,7,0,14,1,37,3,3,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1500000US421010008032,"Block Group 2, Census Tract 8.03, Philadelphia County, Pennsylvania",1314,1216,1030,39,0,136,0,11,98,93,4,7,15,0,62,0,3,0,1,0,0,0,0,1,0,4,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1500000US421010008033,"Block Group 3, Census Tract 8.03, Philadelphia County, Pennsylvania",917,872,759,18,0,84,0,11,45,40,6,0,11,0,21,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1500000US421010008034,"Block Group 4, Census Tract 8.03, Philadelphia County, Pennsylvania",1364,1331,1149,30,0,114,0,38,33,33,1,0,4,0,26,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1500000US421010008051,"Block Group 1, Census Tract 8.05, Philadelphia County, Pennsylvania",1912,1797,1484,59,1,187,0,66,115,112,17,4,22,0,62,2,0,0,0,1,0,2,0,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1500000US421010008052,"Block Group 2, Census Tract 8.05, Philadelphia County, Pennsylvania",675,616,463,51,1,89,0,12,59,52,7,2,21,0,18,1,0,0,0,0,0,1,1,1,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1500000US421010008061,"Block Group 1, Census Tract 8.06, Philadelphia County, Pennsylvania",1483,1389,1157,52,3,152,0,25,94,84,6,2,20,0,50,0,2,0,2,0,0,0,0,2,0,8,4,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1500000US421010008062,"Block Group 2, Census Tract 8.06, Philadelphia County, Pennsylvania",1219,1117,936,38,0,123,0,20,102,89,0,0,31,0,47,0,2,0,4,0,1,1,1,2,0,11,5,0,0,0,0,0,1,2,0,0,0,0,1,2,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1500000US421010009011,"Block Group 1, Census Tract 9.01, Philadelphia County, Pennsylvania",1243,1168,800,208,2,130,0,28,75,67,9,3,12,0,35,4,0,0,1,0,0,1,0,2,0,8,6,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1500000US421010009012,"Block Group 2, Census Tract 9.01, Philadelphia County, Pennsylvania",1166,1081,804,106,3,138,0,30,85,79,5,9,15,0,47,2,0,0,0,0,0,0,0,1,0,6,2,0,0,1,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1500000US421010009021,"Block Group 1, Census Tract 9.02, Philadelphia County, Pennsylvania",1459,1398,885,64,3,428,0,18,61,56,11,3,5,0,31,3,0,0,3,0,0,0,0,0,0,5,3,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1500000US421010009022,"Block Group 2, Census Tract 9.02, Philadelphia County, Pennsylvania",1383,1310,968,86,2,242,0,12,73,68,16,4,23,0,19,5,0,0,1,0,0,0,0,0,0,4,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
